Week of,Weekly Imports, , , 
11/29/2019,8351,,,
11/22/2019,8798,,,
11/15/2019,8101,,,
11/8/2019,8166,,,
11/1/2019,8463,,,
10/25/2019,9201,,,
10/18/2019,7998,,,
10/11/2019,8202,,,
10/4/2019,8590,,,
9/27/2019,8274,,,
9/20/2019,8788,,,
9/13/2019,8909,,,
9/6/2019,8541,,,
8/30/2019,9165,,,
8/23/2019,8574,,,
8/16/2019,9441,,,
8/9/2019,10358,,,
8/2/2019,9764,,,
7/26/2019,9333,,,
7/19/2019,9633,,,
7/12/2019,9225,,,
7/5/2019,9988,,,
6/28/2019,9272,,,
6/21/2019,8701,,,
6/14/2019,9571,,,
6/7/2019,10172,,,
5/31/2019,10533,,,
5/24/2019,9424,,,
5/17/2019,9700,,,
5/10/2019,9769,,,
5/3/2019,9227,,,
4/26/2019,9668,,,
4/19/2019,10000,,,
4/12/2019,8706,,,
4/5/2019,8635,,,
3/29/2019,8870,,,
3/22/2019,8761,,,
3/15/2019,9048,,,
3/8/2019,8898,,,
3/1/2019,8911,,,
2/22/2019,8002,,,
2/15/2019,9436,,,
2/8/2019,8172,,,
2/1/2019,9908,,,
1/25/2019,8707,,,
1/18/2019,10312,,,
1/11/2019,9922,,,
1/4/2019,9931,,,
12/28/2018,9008,,,
12/21/2018,9498,,,
12/14/2018,9235,,,
12/7/2018,9136,,,
11/30/2018,8838,,,
11/23/2018,10096,,,
11/16/2018,9386,,,
11/9/2018,9093,,,
11/2/2018,9443,,,
10/26/2018,9043,,,
10/19/2018,9383,,,
10/12/2018,9723,,,
10/5/2018,9805,,,
9/28/2018,10463,,,
9/21/2018,10082,,,
9/14/2018,10353,,,
9/7/2018,10519,,,
8/31/2018,10024,,,
8/24/2018,10158,,,
8/17/2018,10121,,,
8/10/2018,11121,,,
8/3/2018,10225,,,
7/27/2018,10045,,,
7/20/2018,10255,,,
7/13/2018,11121,,,
7/6/2018,9324,,,
6/29/2018,11382,,,
6/22/2018,10400,,,
6/15/2018,10139,,,
6/8/2018,10712,,,
6/1/2018,10207,,,
5/25/2018,10291,,,
5/18/2018,11018,,,
5/11/2018,9773,,,
5/4/2018,9855,,,
4/27/2018,10779,,,
4/20/2018,10520,,,
4/13/2018,9770,,,
4/6/2018,10554,,,
3/30/2018,10604,,,
3/23/2018,10314,,,
3/16/2018,8934,,,
3/9/2018,9582,,,
3/2/2018,10587,,,
2/23/2018,9105,,,
2/16/2018,8937,,,
2/9/2018,9834,,,
2/2/2018,10163,,,
1/26/2018,11245,,,
1/19/2018,10290,,,
1/12/2018,9535,,,
1/5/2018,9592,,,
12/29/2017,9843,,,
12/22/2017,10157,,,
12/15/2017,10315,,,
12/8/2017,9623,,,
12/1/2017,9170,,,
11/24/2017,9100,,,
11/17/2017,9795,,,
11/10/2017,9981,,,
11/3/2017,9550,,,
10/27/2017,9629,,,
10/20/2017,9819,,,
10/13/2017,9716,,,
10/6/2017,9801,,,
9/29/2017,9774,,,
9/22/2017,10342,,,
9/15/2017,9422,,,
9/8/2017,8433,,,
9/1/2017,8913,,,
8/25/2017,10496,,,
8/18/2017,10662,,,
8/11/2017,10266,,,
8/4/2017,10368,,,
7/28/2017,10079,,,
7/21/2017,10128,,,
7/14/2017,9972,,,
7/7/2017,9421,,,
6/30/2017,10033,,,
6/23/2017,9832,,,
6/16/2017,10142,,,
6/9/2017,9816,,,
6/2/2017,10633,,,
5/26/2017,10222,,,
5/19/2017,10494,,,
5/12/2017,10636,,,
5/5/2017,10179,,,
4/28/2017,10297,,,
4/21/2017,11280,,,
4/14/2017,9793,,,
4/7/2017,9333,,,
3/31/2017,10022,,,
3/24/2017,10604,,,
3/17/2017,10284,,,
3/10/2017,9558,,,
3/3/2017,10446,,,
2/24/2017,9911,,,
2/17/2017,9485,,,
2/10/2017,10479,,,
2/3/2017,11916,,,
1/27/2017,10302,,,
1/20/2017,10290,,,
1/13/2017,10655,,,
1/6/2017,11121,,,
12/30/2016,9428,,,
12/23/2016,9876,,,
12/16/2016,10225,,,
12/9/2016,9344,,,
12/2/2016,10515,,,
11/25/2016,10061,,,
11/18/2016,9951,,,
11/11/2016,10907,,,
11/4/2016,9232,,,
10/28/2016,10957,,,
10/21/2016,9068,,,
10/14/2016,9127,,,
10/7/2016,9866,,,
9/30/2016,9968,,,
9/23/2016,9978,,,
9/16/2016,10343,,,
9/9/2016,10262,,,
9/2/2016,9103,,,
8/26/2016,11036,,,
8/19/2016,11169,,,
8/12/2016,10364,,,
8/5/2016,10607,,,
7/29/2016,10918,,,
7/22/2016,10796,,,
7/15/2016,10580,,,
7/8/2016,10114,,,
7/1/2016,10568,,,
6/24/2016,10466,,,
6/17/2016,10721,,,
6/10/2016,10048,,,
6/3/2016,10031,,,
5/27/2016,9898,,,
5/20/2016,9944,,,
5/13/2016,9787,,,
5/6/2016,9697,,,
4/29/2016,9858,,,
4/22/2016,10044,,,
4/15/2016,10026,,,
4/8/2016,10009,,,
4/1/2016,9468,,,
3/25/2016,9470,,,
3/18/2016,10254,,,
3/11/2016,9647,,,
3/4/2016,9989,,,
2/26/2016,10209,,,
2/19/2016,9800,,,
2/12/2016,10231,,,
2/5/2016,9043,,,
1/29/2016,10330,,,
1/22/2016,10008,,,
1/15/2016,10042,,,
1/8/2016,9861,,,
1/1/2016,9103,,,
12/25/2015,9462,,,
12/18/2015,8910,,,
12/11/2015,10429,,,
12/4/2015,10095,,,
11/27/2015,9416,,,
11/20/2015,9025,,,
11/13/2015,8437,,,
11/6/2015,9093,,,
10/30/2015,8155,,,
10/23/2015,8851,,,
10/16/2015,9165,,,
10/9/2015,9410,,,
10/2/2015,8802,,,
9/25/2015,9645,,,
9/18/2015,9123,,,
9/11/2015,8847,,,
9/4/2015,9371,,,
8/28/2015,9973,,,
8/21/2015,9247,,,
8/14/2015,10652,,,
8/7/2015,9917,,,
7/31/2015,9107,,,
7/24/2015,9711,,,
7/17/2015,10200,,,
7/10/2015,9453,,,
7/3/2015,9622,,,
6/26/2015,10067,,,
6/19/2015,8865,,,
6/12/2015,9372,,,
6/5/2015,8527,,,
5/29/2015,9105,,,
5/22/2015,8869,,,
5/15/2015,9427,,,
5/8/2015,9271,,,
5/1/2015,8076,,,
4/24/2015,9976,,,
4/17/2015,9941,,,
4/10/2015,9238,,,
4/3/2015,10306,,,
3/27/2015,9178,,,
3/20/2015,9216,,,
3/13/2015,9730,,,
3/6/2015,8344,,,
2/27/2015,9395,,,
2/20/2015,9563,,,
2/13/2015,9047,,,
2/6/2015,9198,,,
1/30/2015,9463,,,
1/23/2015,9841,,,
1/16/2015,9367,,,
1/9/2015,9396,,,
1/2/2015,9520,,,
12/26/2014,9144,,,
12/19/2014,10718,,,
12/12/2014,9445,,,
12/5/2014,9218,,,
11/28/2014,9060,,,
11/21/2014,8976,,,
11/14/2014,9203,,,
11/7/2014,8649,,,
10/31/2014,8607,,,
10/24/2014,8768,,,
10/17/2014,8747,,,
10/10/2014,9113,,,
10/3/2014,9197,,,
9/26/2014,8550,,,
